time,bid,ask
1526127751019,8572.60000,8573.40000
1526127754867,8573.30000,8575.00000
1526127758931,8573.40000,8575.00000
1526127761750,8573.60000,8575.00000
1526127766247,8574.80000,8575.00000
1526127769136,8574.80000,8575.00000
1526127773043,8574.80000,8575.00000
1526127776872,8574.90000,8575.00000
1526127780967,8574.90000,8575.00000
1526127784117,8574.90000,8575.00000
1526127788183,8574.90000,8575.00000
1526127791942,8574.90000,8575.00000
1526127795206,8574.90000,8575.00000
1526127799501,8574.90000,8582.00000
1526127803562,8578.00000,8582.00000
1526127806525,8578.00000,8582.00000
1526127810587,8581.90000,8582.00000
1526127812527,8581.90000,8582.00000
1526127818732,8581.90000,8582.00000
1526127821770,8581.90000,8582.00000
1526127826086,8582.00000,8589.20000
1526127830159,8582.00000,8589.20000
1526127833065,8582.00000,8586.50000
1526127836817,8583.40000,8585.20000
1526127840660,8582.00000,8586.80000
1526127844533,8582.00000,8586.80000
1526127847736,8583.50000,8586.80000
1526127851551,8581.90000,8586.70000
1526127855273,8581.90000,8589.00000
1526127859673,8582.00000,8589.20000
1526127862930,8582.00000,8588.90000
1526127867026,8582.10000,8589.20000
1526127870347,8582.10000,8589.20000
1526127874318,8582.40000,8588.80000
1526127878217,8582.40000,8586.00000
1526127882104,8582.30000,8586.00000
1526127882104,8582.30000,8586.00000
1526127889295,8585.00000,8588.80000
1526127892374,8585.00000,8587.10000
1526127897019,8585.00000,8588.20000
1526127899887,8585.00000,8588.20000
1526127902995,8585.00000,8588.10000
1526127908089,8585.00000,8588.10000
1526127909947,8585.00000,8588.10000
1526127914817,8585.00000,8588.20000
1526127918948,8585.00000,8588.00000
1526127922929,8587.80000,8588.00000
1526127925116,8585.00000,8588.20000
1526127929178,8582.00000,8588.20000
1526127933751,8582.00000,8588.00000
1526127937422,8582.10000,8588.20000
1526127939974,8584.40000,8588.10000
1526127944773,8582.10000,8588.10000
1526127948237,8582.10000,8588.20000
1526127951964,8583.10000,8588.10000
1526127955722,8587.90000,8588.00000
1526127959362,8587.90000,8588.00000
1526127962799,8587.90000,8588.00000
1526127967347,8588.70000,8588.90000
1526127970354,8588.70000,8588.90000
1526127974623,8588.70000,8588.90000
1526127978459,8588.70000,8588.90000
1526127981835,8588.70000,8588.90000
1526127986150,8585.00000,8588.90000
1526127989103,8588.40000,8588.90000
1526127993586,8585.00000,8588.90000
1526127997859,8586.50000,8588.90000
1526128002441,8586.50000,8587.40000
1526128005374,8586.50000,8587.40000
1526128009427,8586.50000,8588.90000
1526128013325,8585.10000,8587.30000
1526128016677,8586.50000,8587.30000
1526128020253,8585.00000,8587.30000
1526128024379,8585.00000,8587.30000
1526128027457,8585.10000,8587.30000
1526128031694,8588.90000,8589.20000
1526128034966,8587.20000,8589.20000
1526128038887,8587.20000,8593.40000
1526128042338,8593.20000,8593.30000
1526128046347,8593.20000,8593.30000
1526128050357,8593.20000,8593.30000
1526128053726,8593.20000,8593.30000
1526128057583,8587.70000,8593.30000
1526128061431,8588.40000,8593.30000
1526128065157,8587.70000,8593.30000
1526128069305,8585.00000,8587.70000
1526128072451,8585.10000,8593.20000
1526128076228,8585.10000,8593.30000
1526128079533,8585.20000,8593.20000
1526128083741,8585.20000,8593.30000
1526128087525,8585.70000,8593.20000
1526128090973,8585.80000,8593.20000
1526128095102,8593.20000,8593.30000
1526128098841,8593.20000,8593.30000
1526128102129,8585.10000,8589.60000
1526128105878,8586.00000,8586.10000
1526128109244,8585.00000,8586.10000
