time,bid,ask
1526127773043,8581.43,8592.23
1526127776872,8581.43,8592.23
1526127780967,8581.49,8591.60
1526127784117,8581.49,8591.60
1526127788183,8581.49,8590.54
1526127791942,8581.51,8588.99
1526127795206,8581.51,8588.99
1526127799501,8581.51,8589.01
1526127803562,8581.67,8585.00
1526127806525,8581.67,8585.00
1526127810587,8581.71,8591.99
1526127812527,8581.71,8591.99
1526127818732,8591.59,8591.99
1526127821770,8591.59,8594.30
1526127826086,8591.59,8594.49
1526127830159,8591.59,8594.49
1526127833065,8591.59,8594.60
1526127836817,8591.59,8594.99
1526127840660,8591.59,8594.99
1526127844533,8591.59,8594.99
1526127847736,8591.59,8594.99
1526127851551,8585.00,8594.96
1526127855273,8585.00,8594.96
1526127859673,8585.01,8591.48
1526127862930,8591.47,8591.48
1526127867026,8585.00,8591.46
1526127870347,8585.00,8591.46
1526127874318,8585.01,8591.44
1526127878217,8585.01,8591.44
1526127882104,8585.01,8591.43
1526127882104,8585.01,8591.43
1526127889295,8585.01,8591.41
1526127892374,8585.01,8591.47
1526127897019,8585.01,8591.47
1526127899887,8585.03,8591.47
1526127902995,8585.04,8591.47
1526127908089,8585.05,8591.47
1526127909947,8585.05,8591.47
1526127914817,8585.07,8591.47
1526127918948,8585.09,8591.32
1526127922929,8585.09,8591.48
1526127925116,8585.09,8591.48
1526127929178,8585.11,8591.47
1526127933751,8585.11,8592.97
1526127937422,8585.11,8592.97
1526127939974,8592.00,8593.71
1526127944773,8592.01,8593.86
1526127948237,8592.01,8593.86
1526127951964,8592.02,8598.62
1526127955722,8592.02,8595.45
1526127959362,8592.00,8595.44
1526127962799,8592.00,8595.44
1526127967347,8592.04,8595.44
1526127970354,8592.01,8599.80
1526127974623,8592.01,8598.35
1526127978459,8592.01,8598.35
1526127981835,8598.60,8599.80
1526127986150,8592.01,8598.33
1526127989103,8592.05,8598.98
1526127993586,8592.07,8598.97
1526127997859,8592.07,8598.97
1526128002441,8592.09,8598.97
1526128005374,8592.09,8598.98
1526128009427,8592.09,8598.98
1526128013325,8592.10,8598.97
1526128016677,8592.12,8598.97
1526128020253,8592.13,8598.98
1526128024379,8592.13,8598.98
1526128027457,8592.13,8598.98
1526128031694,8592.17,8598.98
1526128034966,8592.17,8598.59
1526128038887,8592.17,8598.59
1526128042338,8592.17,8598.59
1526128046347,8598.98,8599.80
1526128050357,8598.98,8599.80
1526128053726,8598.98,8599.63
1526128057583,8598.98,8599.61
1526128061431,8592.02,8599.57
1526128065157,8592.02,8599.57
1526128069305,8592.02,8599.57
1526128072451,8592.02,8599.77
1526128076228,8592.03,8599.77
1526128079533,8592.03,8599.77
1526128083741,8592.03,8599.77
1526128087525,8592.07,8599.12
1526128090973,8592.07,8599.13
1526128095102,8592.07,8599.13
1526128098841,8592.09,8599.12
1526128102129,8592.10,8599.13
