timestamp,buy_exchange,sell_exchange,profit_usd,volume_usd,volume_btc
1530533811.963903,bitfinex,livecoin,224.51254457279276,10020.0,1.577445286631333
1530533811.963903,bitstamp,livecoin,219.07298215911652,10024.999999999998,1.5773775980164826
1530533811.963903,cex,livecoin,201.14861506994194,10024.999999999998,1.574617408467539
1530533811.963903,exmo,livecoin,237.29247894000974,10020.0,1.5794132803184233
1530533811.963903,gdax,livecoin,237.2737407920361,10030.0,1.5809503038859594
1530533811.963903,kraken,livecoin,213.7711945142451,10026.0,1.5767151618344923
1530533826.568231,bitfinex,livecoin,224.1466111428684,10019.999999999998,1.577388936210486
1530533826.568231,bitstamp,livecoin,219.34559095918408,10025.0,1.5774195772929143
1530533826.568231,cex,livecoin,199.66690025238793,10025.0,1.574389237858581
1530533826.568231,exmo,livecoin,237.26237634927384,10020.0,1.579408644793167
